Club,Division,Nation of Club,Club Reputation
St. George's,Maltese Challenge League,Malta,Regional
ASC Mauritel,Mauritanian Lower Leagues,Mauritania,National
ES Darsalam,-,Mali,National
AS Commune II,-,Mali,National
RFC Kéniéba,Kayes Regional Championship,Mali,National
FC Lakika,Bamako District League - Pool B,Mali,National
Inter Nouakchott,Mauritanian Lower Leagues,Mauritania,National
ASC Guemeul,Mauritanian Lower Leagues,Mauritania,National
ADK Moderne,Mauritanian Lower Leagues,Mauritania,National
Ittihad Sélibaby,Mauritanian Lower Leagues,Mauritania,National
FC Teïssir,Mauritanian Lower Leagues,Mauritania,National
FC Sahel,Mauritanian Lower Leagues,Mauritania,National
Vittoriosa S.,Maltese Challenge League,Malta,Regional
Melita,Maltese Challenge League,Malta,Regional
Fgura Utd,Maltese Challenge League,Malta,Regional
Mġarr Utd,Maltese Challenge League,Malta,Regional
Qrendi,Maltese Challenge League,Malta,Regional
US Riveraine,Martinican Régionale 2 Groupe A,Martinique,National
Entente (MTQ),Martinican Régionale 2 Groupe B,Martinique,National
Għajnsielem,Gozitan Football Leagues,Malta,Regional
Étoile Basse-Pointe,Martinican Régionale 2 Groupe A,Martinique,National
AS Mon Pito,Martinican Régionale 2 Groupe B,Martinique,National
Żabbar SP,Maltese National Amateur League,Malta,Regional
Silver Star,Martinican Régionale 2 Groupe A,Martinique,Regional
Luqa,Maltese Challenge League,Malta,Regional
Rabat A.,Maltese Challenge League,Malta,Local
Żurrieq,Maltese National Amateur League,Malta,Local
Xewkija T.,Gozitan Football Leagues,Malta,Local
Victoria H.,Gozitan Football Leagues,Malta,Local
Kerċem A.,Gozitan Football Leagues,Malta,Local
Pamplemousses,Mauritian Premier Division,Mauritius,National
Renaissance Ségou,-,Mali,National
Débo Club,Mopti Regional Championship,Mali,National
CF Balanzan,Ségou Regional Championship,Mali,National
Étoiles du Mandé,ACEFOOT League,Mali,National
FC Mansa,Bamako District League - Pool B,Mali,National
AS Pays Bas,Bamako District League - Pool B,Mali,National
KAGT,Bamako District League - Pool A,Mali,National
Al-Farouk,Tombouctou Regional Championship,Mali,National
AC Kidal,Kidal Regional Championship,Mali,National
Chamarel,-,Mauritius,National
Guidars FC,Bamako District League - Pool B,Mali,National
ALOB,Bamako District League - Pool A,Mali,National
Club Peléen,Martinican Régionale 2 Groupe A,Martinique,Regional
FC Bamako,-,Mali,National
Marsaskala,Maltese National Amateur League,Malta,Local
AS Morne-de-Esses,Martinican Régionale 2 Groupe A,Martinique,Regional
Excelsior (MTQ),Martinican Régionale 2 Groupe A,Martinique,Regional
SC Lamentinois,Martinican Trophee Claude Chadet R3,Martinique,Regional
Gri-Gri pilotin,Martinican Trophee Claude Chadet R3,Martinique,Regional
Attard,Maltese National Amateur League,Malta,Local
ASPL 2000,Mauritian Premier Division,Mauritius,National
Għargħur,Maltese National Amateur League,Malta,Local
Kalkara Utd,Maltese National Amateur League,Malta,Local
Mtarfa,Maltese National Amateur League,Malta,Local
Xgħajra T.,Maltese National Amateur League,Malta,Local
Qormi,Maltese National Amateur League,Malta,Local
Msida SJ,Maltese National Amateur League,Malta,Local
Birżebbuġa,Maltese National Amateur League,Malta,Local
Kirkop Utd,Maltese National Amateur League,Malta,Local
Mellieħa,Maltese National Amateur League,Malta,Local
Siġġiewi,Maltese National Amateur League,Malta,Local
Mdina K.,Maltese National Amateur League,Malta,Local
CS Belimois,Martinican Trophee Claude Chadet R3,Martinique,Regional
Sannat L.,Gozitan Football Leagues,Malta,Local
FC M'tsapéré,Mahoraise Regional 1,Mayotte,National
SKVW,Gozitan Football Leagues,Malta,Local
USBB-RH,Mauritian Lower Divisions,Mauritius,National
Petite Rivière Noire,Mauritian Premier Division,Mauritius,National
Savanne SC,Mauritian Premier Division,Mauritius,National
AS Vacoas Phoenix,Mauritian Premier Division,Mauritius,National
Bolton City YC,Mauritian Premier Division,Mauritius,National
CTN-FB,Mauritian Lower Divisions,Mauritius,National
Oratory Y.,Gozitan Football Leagues,Malta,Local
FC Labattoir,Mahoraise Regional 2,Mayotte,National
Qala S.,Gozitan Football Leagues,Malta,Local
Dingli S.,Maltese National Amateur League,Malta,Local
Xagħra Utd,Gozitan Football Leagues,Malta,Local
Entente Boulet Rouge - Riche Mare Rovers,Mauritian Premier Division,Mauritius,National
GRSE Wanderers,Mauritian Premier Division,Mauritius,National
Għaxaq,Maltese National Amateur League,Malta,Local
Munxar F.,Gozitan Football Leagues,Malta,Local
Ta' Xbiex,Maltese National Amateur League,Malta,Local
Żebbuġ Rov.,Gozitan Football Leagues,Malta,Local
St. Venera L.,Maltese National Amateur League,Malta,Local
St. Lawrence,Gozitan Football Leagues,Malta,Local
Għarb R.,Gozitan Football Leagues,Malta,Local
AS Sada,Mahoraise Regional 1,Mayotte,National
OC Labattoir,-,Mayotte,National
AS Rosador,Mahoraise Regional 1,Mayotte,National
Olympique de Moka,Mauritian Lower Divisions,Mauritius,National
Faucon Flacq,Mauritian Lower Divisions,Mauritius,National
Air Mauritanie,Mauritanian Lower Leagues,Mauritania,National
ASC Gendrim,Mauritanian Lower Leagues,Mauritania,National
SMCP Nouadhibou,Mauritanian Lower Leagues,Mauritania,National
Trarza Nadi Sporting,Mauritanian Lower Leagues,Mauritania,National
Curepipe Starlight,Mauritian Lower Divisions,Mauritius,National
Etoile de l'Ouest,Mauritian Lower Divisions,Mauritius,National
Sodnac QB Utd,Mauritian Lower Divisions,Mauritius,National
PAS Mates,Mauritian Lower Divisions,Mauritius,National
CFKC,-,Mali,Local
FC M'Barakou,ACEFOOT League,Mali,Local
US Buru Massa,Koulikoro Regional Championship,Mali,Local
Africa Sport de Kayes,Kayes Regional Championship,Mali,Local
AS Vieux Bois,Gao Regional Championship,Mali,Local
AS Alenson,Sikasso Regional Championship,Mali,Local
Centre Moriké Traoré,ACEFOOT League,Mali,Local
RC San,Ségou Regional Championship,Mali,Local
FC Flambeau,Ségou Regional Championship,Mali,Local
AS Firhoun,-,Mali,Local
ASAC (MLI),-,Mali,Local
ACI 2000,-,Mali,Local
AS Yiriba,Kayes Regional Championship,Mali,Local
CMB Mopti,Mopti Regional Championship,Mali,Local
US Sevaré,Mopti Regional Championship,Mali,Local
AS Racine,-,Mali,Local
AZI FC,Bamako District League - Pool A,Mali,Local
Bronconi AC,Ségou Regional Championship,Mali,Local
AS Quatre Bornes,Mauritian Lower Divisions,Mauritius,National
Case Noyale,Mauritian Lower Divisions,Mauritius,National
Cercle de Joachim,Mauritian Premier Division,Mauritius,National
Grand Gaube Blue Birds Club,Mauritian Lower Divisions,Mauritius,National
Grand Port Utd,Mauritian Lower Divisions,Mauritius,National
La Cure Sylvester SC,Mauritian Premier Division,Mauritius,National
Mahebourg Quartier,Mauritian Lower Divisions,Mauritius,National
US Highlands,Mauritian Lower Divisions,Mauritius,National
West Brom Barkly,Mauritian Lower Divisions,Mauritius,National
Ittihad Assaba,Mauritanian Lower Leagues,Mauritania,National
FC Toujounine,Mauritanian Lower Leagues,Mauritania,National
FC Deuz,Mauritanian Lower Leagues,Mauritania,National
AJ Riadh,Mauritanian Lower Leagues,Mauritania,National
Africa Foot,Bamako District League - Pool A,Mali,Local
FC Diarra,Bamako District League - Pool B,Mali,Local
Chebel Citizens,-,Mauritius,National
Vale Starlight,-,Mauritius,National
US Trou Aux Biches,-,Mauritius,National
Star Knitwear,-,Mauritius,National
La Cure Waves,-,Mauritius,National
Grande Rivière Noire,-,Mauritius,National
Grand Bel Air Spurs,-,Mauritius,National
CS Jeanne d'Arc,-,Mauritius,National
Black Horns,Mauritian Lower Divisions,Mauritius,National
Étoiles Nouakchott,Mauritanian Lower Leagues,Mauritania,National
FC Teyarett,Mauritanian Lower Leagues,Mauritania,National
FC Oasis,Mauritanian Lower Leagues,Mauritania,National
National Médina 3,Mauritanian Lower Leagues,Mauritania,National
ASC SOCOGIM,Mauritanian Lower Leagues,Mauritania,National
Racine du Nord,-,Mayotte,National
Pamandzi SC,-,Mayotte,National
Rivière du Rempart,Mauritian Lower Divisions,Mauritius,National
Djiguiya FC,Sikasso Regional Championship,Mali,Obscure
AS Kanu,-,Mali,Obscure
FC Gaoussou,Bamako District League - Pool A,Mali,Obscure
AS Nadia,-,Mali,Obscure
ES Médine,Ségou Regional Championship,Mali,Obscure
Nangabanou,Mopti Regional Championship,Mali,Obscure
Kimparana AC,Ségou Regional Championship,Mali,Obscure
FC Ségoucoura,-,Mali,Obscure
AS Pélengana,Ségou Regional Championship,Mali,Obscure
Étoile Filante (MLI),Sikasso Regional Championship,Mali,Obscure
FC Koursalé,Koulikoro Regional Championship,Mali,Obscure
AS Gonie,-,Mali,Obscure
Massia de Faladié,Koulikoro Regional Championship,Mali,Obscure
FC Kaouzin,-,Mali,Obscure
FC Barouéli,Ségou Regional Championship,Mali,Obscure
FC Fama,Sikasso Regional Championship,Mali,Obscure
FC Macosa,-,Mali,Obscure
FC Lélé,Sikasso Regional Championship,Mali,Obscure
AS Commune I,-,Mali,Obscure
AC Bamako,-,Mali,Obscure
América,Mexican First Division,Mexico,Continental
Chivas,Mexican First Division,Mexico,Continental
Cruz Azul,Mexican First Division,Mexico,Continental
Pumas,Mexican First Division,Mexico,Continental
Tigres,Mexican First Division,Mexico,Continental
Monterrey,Mexican First Division,Mexico,Continental
Pachuca,Mexican First Division,Mexico,Continental
León,Mexican First Division,Mexico,Continental
Santos Laguna,Mexican First Division,Mexico,National
Toluca,Mexican First Division,Mexico,National
Atlas,Mexican First Division,Mexico,National
Necaxa,Mexican First Division,Mexico,National
Tijuana,Mexican First Division,Mexico,National
Puebla,Mexican First Division,Mexico,National
Querétaro,Mexican First Division,Mexico,National
At. San Luis,Mexican First Division,Mexico,National
FC Juárez,Mexican First Division,Mexico,National
Mazatlán,Mexican First Division,Mexico,National
Atlante,Mexican Expansion League,Mexico,National
Morelia,Mexican Expansion League,Mexico,National
UdeG,Mexican Expansion League,Mexico,National
Dorados,Mexican Expansion League,Mexico,National
Celaya,Mexican Expansion League,Mexico,National
Alebrijes,Mexican Expansion League,Mexico,National
Mineros,Mexican Expansion League,Mexico,National
Veracruz,-,Mexico,National
Alteños Tepa,Mexican Expansion League,Mexico,National
Correcaminos,Mexican Expansion League,Mexico,National
Tampico Madero,Mexican Expansion League,Mexico,National
Venados,Mexican Expansion League,Mexico,National
Cimarrones,Mexican Expansion League,Mexico,National
Tlaxcala,Mexican Expansion League,Mexico,National
Cancún,Mexican Expansion League,Mexico,National
Tapatío,Mexican Expansion League,Mexico,National
Pumas Tabasco,Mexican Expansion League,Mexico,National
Raya2,Mexican Expansion League,Mexico,National
Tecos,Mexican Premier Division Serie A,Mexico,National
Lobos BUAP,-,Mexico,National
Irapuato,-,Mexico,National
Loros Colima,-,Mexico,National
At. Reynosa,-,Mexico,National
Zacatepec,-,Mexico,National
Potros UAEM,-,Mexico,National
Zitácuaro,-,Mexico,National
Cafetaleros,Mexican Premier Division Serie A,Mexico,National
Colima FC,Mexican Premier Division Serie A,Mexico,National
La Piedad,Mexican Premier Division Serie A,Mexico,National
Mazorqueros,Mexican Premier Division Serie A,Mexico,National
Dongu,Mexican Premier Division Serie A,Mexico,National
Durango,Mexican Premier Division Serie A,Mexico,National
Toros Neza,-,Mexico,National
Murciélagos,-,Mexico,National
Curtidores,-,Mexico,National
At. Capitalino,-,Mexico,National
Pioneros,-,Mexico,National
Industriales Naucalpan,-,Mexico,National
Cruz Azul Hidalgo,-,Mexico,National
Gavilanes,Mexican Premier Division Serie A,Mexico,National
Yalmakan FC,Mexican Premier Division Serie A,Mexico,National
Cafessa,-,Mexico,National
Jaguares Jalisco,-,Mexico,National
Orizaba,-,Mexico,National
Montañeses,Mexican Premier Division Serie A,Mexico,National
Zap,Mexican Premier Division Serie A,Mexico,National
Tecamachalco,-,Mexico,National
UA Chihuahua,-,Mexico,National
UA Zacatecas,Mexican Premier Division Serie A,Mexico,National
Chapulineros,-,Mexico,National
Canamy,Mexican Premier Division Serie A,Mexico,National
Furia Roja,-,Mexico,National
At. Coatzacoalcos,-,Mexico,National
Marina,Mexican Premier Division Serie A,Mexico,National
Inter Querétaro,Mexican Premier Division Serie A,Mexico,National
Leviatán,Mexican Premier Division Serie A,Mexico,National
Tepic,Mexican Premier Division Serie A,Mexico,National
Fresnillo,Mexican Premier Division Serie A,Mexico,National
At. San Francisco,-,Mexico,National
Catedráticos Elite,Mexican Premier Division Serie A,Mexico,National
La Paz,-,Mexico,National
Lobos ULMX,Mexican Premier Division Serie A,Mexico,National
Halcones Querétaro,-,Mexico,National
Real Tlamazolan,-,Mexico,National
Inter Playa,Mexican Premier Division Serie A,Mexico,National
Saltillo FC,Mexican Premier Division Serie A,Mexico,National
Tritones,Mexican Premier Division Serie A,Mexico,National
Correcaminos B,Mexican Premier Division Serie A,Mexico,National
Cuautla,Mexican Premier Division Serie B,Mexico,National
Leones Negros UdeG,Mexican Premier Division Serie A,Mexico,National
Cimarrones B,Mexican Premier Division Serie A,Mexico,National
Huracanes Izcalli,Mexican Premier Division Serie B,Mexico,National
Uruapan,Mexican Premier Division Serie B,Mexico,National
Guerreros Xico,Mexican Premier Division Serie B,Mexico,National
Ciervos,Mexican Premier Division Serie B,Mexico,National
Lobos Huerta,Mexican Premier Division Serie B,Mexico,National
Calor,Mexican Premier Division Serie B,Mexico,National
Oro,Mexican Third Division Group 12,Mexico,Regional
Alebrijes B,Mexican Premier Division Serie B,Mexico,Regional
Cesifut,-,Mexico,Regional
Patriotas Córdoba,-,Mexico,Regional
Chalco,-,Mexico,Regional
Deportivo San Juan,-,Mexico,Regional
Chivas Los Ángeles,Mexican Third Division Group 03,Mexico,Regional
FC Politécnico,Mexican Third Division Group 04,Mexico,Regional
Jaguares Premier,-,Mexico,Regional
Selección 2da,-,Mexico,Regional
Alacranes Rojos,-,Mexico,Regional
At. Lagunero,-,Mexico,Regional
Cruz Azul Lagunas,Mexican Third Division Group 02,Mexico,Regional
Marina III,Mexican Third Division Group 05,Mexico,Regional
Zaci FC,Mexican Third Division Group 05,Mexico,Regional
Chilangos FC,Mexican Third Division Group 04,Mexico,Regional
Nuevo Laredo,Mexican Third Division Group 15,Mexico,Regional
Nacional de Guadalajara,Mexican Third Division Group 12,Mexico,Regional
Hidalguense,Mexican Third Division Group 08,Mexico,Regional
Halcones Saltillo,Mexican Third Division Group 15,Mexico,Regional
Vaqueros FC,-,Mexico,Regional
Malinalco,-,Mexico,Regional
SD Eibar México,Mexican Third Division Group 13,Mexico,Regional
Chetumal,Mexican Third Division Group 01,Mexico,Regional
Cuervos Blancos,Mexican Third Division Group 04,Mexico,Regional
Ind. Mexiquense,Mexican Third Division Group 05,Mexico,Regional
3a,Mexican Third Division,Mexico,Regional
FC Politécnico III,-,Mexico,Regional
Estudiantes Qro,Mexican Third Division Group 09,Mexico,Regional
Corsarios,Mexican Third Division Group 01,Mexico,Regional
Poza Rica,Mexican Third Division Group 03,Mexico,Regional
Alamos,Mexican Third Division Group 04,Mexico,Regional
León III,Mexican Third Division Group 11,Mexico,Regional
Ángeles Ciudad,Mexican Third Division Group 05,Mexico,Regional
La Tribu,Mexican Third Division Group 16,Mexico,Regional
Saltillo Soccer,-,Mexico,Regional
Newell Mérida,-,Mexico,Regional
UD Salamanca,Mexican Third Division Group 12,Mexico,Regional
Iguala,Mexican Third Division Group 07,Mexico,Regional
Correcaminos III,Mexican Third Division Group 15,Mexico,Regional
Pachuca III,Mexican Third Division Group 08,Mexico,Regional
Caballeros,Mexican Third Division Group 03,Mexico,Regional
Real San Cosme,Mexican Third Division Group 15,Mexico,Regional
CF Estudiantes,Mexican Third Division Group 06,Mexico,Regional
Aztecas AMF,Mexican Third Division Group 04,Mexico,Regional
Ayense,Mexican Third Division Group 12,Mexico,Regional
Celaya III,Mexican Third Division Group 09,Mexico,Regional
Leones Negros UdeG III,Mexican Third Division Group 13,Mexico,Regional
Iguanas FC,Mexican Third Division Group 07,Mexico,Regional
At. Leonés,Mexican Third Division Group 11,Mexico,Regional
U Cuauhtémoc GDL,-,Mexico,Regional
San Nicolás FC,Mexican Third Division Group 15,Mexico,Regional
Cobras Premier,Mexican Third Division Group 16,Mexico,Regional
CD Muxes,Mexican Third Division Group 04,Mexico,Regional
At. Huejutla,Mexican Third Division Group 08,Mexico,Regional
